content,sentiment_value
"it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao",0.75
"Lol Adam the Bull with his fake outrage...",0.417
"@THATSSHAWTYLO passed away early this morning in a fast and furious styled car crash as he was leaving an ATL strip club. That's rough stuff",0.354
"@Kristiann1125 lol wow i was gonna say really?! haha have you seen chris or nah? you dont even snap me anymore dude!",0.438
"I need a \xf0\x9f\x8d\xb1sushi date\xf0\x9f\x8d\x99 @AnzalduaG \xf0\x9f\x8d\x9dan olive guarded date\xf0\x9f\xa7\x80 @lexiereid369 and a \xf0\x9f\x91\x8a\xf0\x9f\x8f\xbcRockys date\xf0\x9f\x8d\x95 ",0.271
"And Republicans, you, namely Graham, Flake, Sasse and others are not safe from my wrath, hence that Hillary Hiney-Kissing ad I saw about you",0.354
"@leepg \\n\\nLike a rabid dog I pulled out the backs of my cupboards looking for a bakewell..Found a french fancie &amp; a mini batternburg #Winner!",0.333
"@MisterAK47 it's very telling that racist bigots always resort to the insult 'fag' like that's worse than being a racist bigot.",0.556
"Follow up. Follow through. Be #relentless. #success",0.125
"@JustinRow10 dude the new madden 17? Haha",0.231
"@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I \xf0\x9f\x99\x88 #bitter #soreloser",0.583
"Lol little things like that make me so angry x",0.604
"One more day tiff.. One more day!",0.208
"Me being on my dean really saving a lot of ppl, bc I don't snap nomore &amp; it take so much out of me..",0.348
"Who knew softballs could sting so bad? Jimmy Fallon has been under a lot of heat for his &amp;ldquo;softball&amp;rdquo; Donald Trump interview",0.414
"Women don't like girls because we resent them for looking so great/we wish we still looked like that  #washed",0.479
"@brendancoots where's your outrage that your party nominated a lying, corrupt person? And received donations from nations who support terror",0.766
"I swear I got anger issues but my heart big AF...",0.604
"75' Tierney reaches a deep cross to the back post and plays it back across but the Alloa defence clear. Celtic relentless here.",0.438
"This is a joke @SomersetCCC #fuming",0.688
"I just love it when people make plans for me without actually including me in this process #rage",0.688
"Be quick to #listen, slow to #speak, and slow to .",0.121
"@Sargon_of_Akkad It'll be like burning rap albums; they'll have to buy it first, but gosh darn it, they have to get rid of it.",0.417
"@Daniel_Sankey @hayleyp79 Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! #bitter",0.472
"@OstinOng YUUUHH \xf0\x9f\x99\x84\xf0\x9f\x98\xad plus clin ep and prevmed ugghhh hahaha #bitter",0.521
"my wasp sting is so itchy",0.356
"Grateful for all the hungry people in my life! Hungry to learn, change, grow, help, etc - not sure anybody has it better! ",0.396
