content,sentiment_value
"@Its_just_Huong I will beat you !!! Always thought id be gryffindor so this is a whole new world for me \xf0\x9f\x98\xa8\xf0\x9f\x98\xa8\xf0\x9f\x98\xa8 #excited #afraid",0.667
"\xe2\x80\x9cWhat worries you masters you.\xe2\x80\x9d - Haddon Robinson @ChoGMinistries #Jesusisthesubject #worry #anxiety #anxious",0.604
"@carlybigelow13 first you take the room now you wanna beat me up ",0.412
"@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. #nervous",0.896
"@MidgetTamer @RAIDERS @52Mack_ Make him be a bully. Sit him in a room by himself and let him look at Debo all day.",0.438
"3years today marks the anniversary of that horrid Westgate Attack in Nairobi. My heart out to all those of us who lost our family &amp; friends\xf0\x9f\x95\xaf",0.521
"@WunderlistHelp are you guys still down? When can we go up? ",0.312
"@City_tv  is like the big bully in class ruining everyone's lunch but instead of taking our lunch money they took away family feud #bully",0.646
"@Jchawes What is your favorite #horror movie? #ghosthunters",0.342
"Not sure if thats an accomplishment or something to worry about",0.479
"@CharlieEblacker hate being shy \xf0\x9f\x98\xa9",0.646
"#smackdev #ptp #start oh yeah!",0.12
"@Varneyco @SheriffClarke I agree. Rioters destroy property, injure citizens, and threaten lives. We need a zero tolerance policy on riots.",0.688
"@DeionSandersJr @DeionSanders so bad...Slash prices or send them to refugee camps, like team gear after they lose championships. ",0.375
"I'm shaking now.",0.812
"And they cover these police shootings fairly well they dont want to miss a chance to bully you",0.792
"\xe2\x80\x9c Less sugar, more fruit.\\n Less soda, more water.\\n Less worry, more sleep.\\n LESS WORDS, MORE ACTION.\xe2\x80\x9d",0.279
"@Jpennifan OH sorry for your divorce but don't worry I will be a good wife then (no reference)",0.319
"That old lady is cray cray #scared #BellaIsSoCute  #Empire",0.5
"Editing a father of the bride speech. At 3 minutes in she tells him to wrap it up. He goes on for 12 more minutes. ",0.208
"@YahooCare data stolen in 2014 and only now do you tell us .",0.771
"@RyanAbe awe yay thank god I was so worried.",0.5
"This is the scariest American Horror Story out of all of them... I'm gonna have to watch in the daytime. ",0.742
"@BuzzFeed so this houses will get into my instestines and scare my poop and I'll shit my pants?",0.7
"Late night #thoughts. Feeling .",0.5
"The terror threat level really need to be raised",0.812
"You have a #problem? Yes! Can you do #something about it? No! Than why ",0.417
"@davidpreece12 @FitbaHacks Great defender, terrible positioning. Didn't know where he should be without Russel shouting at him for 90 mins",0.396
"#panic Panic attack from fear of starting new medication",0.917
"@stephenfhayes Mustard gas = hostile work environment, not #terrorism; call #OSHA not #military",0.708
"An @amityaffliction kind of drive home from work today  #dailyfeels",0.458
"\xe2\x99\xaaOLD FISH ",0.07
"Rojo is a terrible defender",0.375
"Being forced into a fake hug by someone who didn\xe2\x80\x99t flinch to get litigious with you in the past - #awful \xf0\x9f\x98\x96\xf0\x9f\x91\xba\xf0\x9f\x99\x85",0.792
"This is #horrible: Lewis Dunk has begun networking #a Neo-Geo with a his holiday home in Mexico.",0.479
"@hotpatooties more like quickie divorce #awful",0.5
"Noooooo @GBBOUK without #MaryBerry will be #awful #endofanera going 2b so #lost @Channel4 have bought a #lameduck there #notallaboutthemoney",0.6
"@SimplyMayaMarie @STILLStanding_B \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 y'all know I'm crazy its just shocking that's all",0.521
"Crossword puzzle is oat meals solitary respecting the flat out portentous nutrient rootstock re scruple failur...",0.375
"@priorJoan @MizQue \\nActually pretty typical of trump supporters\\nThis kid learned birtherism in school\\nThat's horrific",0.583
"@CGasparino Give it up Gas, I don't hate u, I just don't respect ur rudeness. #bully",0.479
"@60DaysInJail Dafron is hands down the biggest loser on the planet!!! Typical #bully #lifer",0.438
"@CurtisJobling Yes indeed! We know masses of students would be so excited to see you! We need to get this sorted! #haunt",0.208
"Has anyone else had a bad experience with Poundstretcher? #nightmare firm",0.708
"im crying katherine is the only one whos like talking to me during my anxiety attack im gonna faint",0.896
"@HMiglino @CParks777 @Coco_Wms @bodyfit67 @TruthEqualsFact @politicususa I have never been more anxious of a election in my life\xe2\x80\xbc\xef\xb8\x8f ",0.875
"I really want to go for fright night but I really don't \xf0\x9f\x98\x81",0.583
"#GADOT please put a left turn signal at Williams and Ivan Allen Jr Blvd. This is absolutely ridiculous #ATLtraffic #horrible",0.479
"Wine drunk is the worst version of myself ffs, don't even remember seeing basshunter ",0.375
"As #life gets longer, #awful feels #softer, well it #feels pretty soft to me. #modestmouse @modestmouseband",0.554
"in my dream....They were trying to steal my kidney!!!  #blackmarket #whydidiwatchthat",0.771
"Do not #worry about anything but #pray about everything.",0.373
"#Success awaits on the other side of your #fear &amp; that's only in your#head-JesusChristEmpowersRightThinking-ASK #fitness #weightlifting",0.271
"Didn't concede yet but having a nightmare at the back #MUFC",0.625
"My roommate talks and laughs in her sleep. It never fails to scare the shit out of me. \xf0\x9f\x99\x85\xf0\x9f\x8f\xbd\xf0\x9f\x98\xb3",0.833
