content,sentiment_value
"2 days until #GoPackGo and 23 days until #GoGipeGo..... I'm so excited! ",0.792
"Positive #psychology research shows salespeople who score in the top 10% for #optimism have 88% &gt; sales than those in top 10% for pessimism.",0.274
"As the birds chirp and the cows moo we need to listen to the sound of nature to ensure that all is well.",0.48
"Howling with laughter at \xe2\x80\x9cWELL DONE BEZZA!\xe2\x80\x9d #bakeoff #GBBO",0.94
"@StephaliciousD afternoon delight",0.539
"@UKLittleKitchen Defo a hearty root veg gratin. Nice comfort food as Autumn kicks in",0.48
"As I remember and reflect on Reginald Denny on a night much like this (like #Charlotte) I think to myself, the gun lobby must be rejoicing.",0.422
"@hesham786 that's the spirit #optimism",0.396
"@simmy_hanley @Schrise also a ",0.34
"@scottlocker220 Thank you for that, the notification came in the nick of time to cheer me up - have to re-tweet",0.708
"@blackeyed_susie They ain't going away, and I don't want to see them hurt; changing hearts/minds is really our only option, no? #optimism",0.333
"when u havent learned to swim \xf0\x9f\xa4\x94 but you keep working out so you're denser and less buoyant \xf0\x9f\x98\x9e but swimming is scary \xf0\x9f\xa4\x94 but also u cant swim \xf0\x9f\x98\x9e",0.154
"Evening all. Don't forget it's #RobinHoodHour TONIGHT \xf0\x9f\x8f\xb9\\n\\n#bizitalk #bizhour #southyorkshire #MansfieldHour #chirp #sheffieldHour #NottsHour",0.442
"Close to the end of a revision...taking this story I love in a new direction has been exhilarating for me. #endlesspossibilities #amwriting",0.6
"mirana told me to shut up when i was singing along to glee...",0.26
"#happiness #recipe: an open mind, #laughter, a kind #heart &amp; ",0.667
"\xf0\x9f\x94\xa5\xf0\x9f\x92\x81\xf0\x9f\x8f\xbc- its lit having a class with you!!! Your such a great person and good at cheer!!",0.896
"Watch this amazing live.ly broadcast by @jaredhorgan  #musically",0.521
"@alpuzz Ah, but once I got it to work, there was much rejoicing! Lol thanks will get it to do taht now.",0.812
"Function in regard to camshaft exhilaration companies: CQHshJSI",0.34
"@AllredMD @KerryCallen @thismanthispete Kirby's Black Panther in a cool animated panel.",0.375
"Just popped a half bottle of 2014 @Bellawines #sparkling #gamaynoir from Westbank. Evenin', folks! \\n#bcwinechat",0.62
"@Myahrissavietta I'm cheery now \xf0\x9f\x98\x98\xf0\x9f\x98\x89",0.76
"@mark_slifer actually maybe we were supposed to die and my donation saved our lives?? ",0.24
"I WANNA GET UP AND DANCE!!!! (but everyone is in bed) this sucks! Everyone wake up!! \xf0\x9f\x98\xaf #hyper  #letsdance #dirtydancinginthemoonlight\xf0\x9f\x91\x8c",0.708
"@CazuaL_WeaR @ScottInSC looks like a book shaped like a gun to me  #itsagunalright",0.208
"@alicereidy more of a hearty Italian man myself",0.56
"The little sniffle at the end of the song gets me every time. ",0.3
"it's not the most comforting &amp; jubilant place to be, but I do find joy in doing what's best for me and being passionate abt company I keep.",0.52
"@LBC_Charlotte just watched you on the great wall #hilarious \xf0\x9f\x98\x86",0.8
"@ErinAndrews I \xe2\x9d\xa4\xef\xb8\x8fyou on DWTS You make my night every show! \xf0\x9f\x98\x98 #hilarious",0.923
"Watch this amazing live.ly broadcast by @maisiev  #musically",0.578
"I love my family so much #lucky #grateful #smartassfamily  #love",0.936
"@ditzkoff @jpodhoretz There\xe2\x80\x99s not a metaphor in the world that will get at the hilarity of jpod pronouncing on humor.",0.583
"@MaureenKamash that's a good question. I really don't know. I am slowly losing my optimism",0.058
"Whatever you decide to do make sure it makes you #happy.",0.583
"Inquiries into alleged abuses by UK troops in Afghanistan and Iraq and data suggesting a buoyant post-Brexit economy makes the front pages.",0.16
"May your day be filled with #peace#love n #laughter .Have a very nice day full of #Success #Jummah Mubarak\xf0\x9f\x98\x87 , good morning\xe2\x98\x95 @WaseemBadami",0.792
"Pinterest one dessert... Next thing you know your pinning how to make 27 different visually pleasing mouth watering never gonna make sweets.",0.34
"in love with @BarberCeleste  insta!!!... #hilarious",0.769
"Retweeted GunnySmith93 (@Stephen21Smith):\\n\\nDays like today I am happy to be alive! #blessed #rejoice",0.86
"Pakis are applauding Sharif's speech,i wonder how many really understood what he said!!!!\\nThey are very much excited and happy",0.481
"@FullTimeDEVILS Memphis looking bright. Rojo looking like Rojo.",0.473
"@clonmacart I'm beaming with glee.",0.729
"When something makes you excited, terrified, thrilled, nervous, elated &amp; like you've been kicked in the guts all at once. Need word for that",0.479
"Crossfit houston-la homefolks as for spry proprieties regimes: AJaFUE",0.271
"@elena_yip My random guesses for you! A potential Amelie, Kenneth of 30 Rock (but YA instead of TV) &amp; maybe w/ the optimism of Lara Jean?",0.36
"Aw there's a young fox outside on the grass just jumping around all playful and having a little stretch \xf0\x9f\x99\x88 soo cute \xf0\x9f\x90\xba",0.75
"@HunterDean_ [he gives a gleeful squeak and wraps around you] All mine!",0.729
"Happiness is a choice life isn't about pleasing everybody #ALDUB62ndWeeksary",0.46
"I want the smoky clouds of laughter to swim about you forever more..",0.58
"It's better to be wetter than it is to be dry'- Thanks for the tip Val. First #GBBO hearty guffaw of the week",0.6
"it's so breezy out today, i can't go to back to school night with bare legs like i've had all day",0.25
"@OccasionalGod isn't that the reason horror is popular? the exhilaration that comes from discomfort is enjoyable -- watch The Green Room :D",0.458
"Life izn't about pleasing each others...\xf0\x9f\x98\x95\\n\\n#hell #with #pleasing",0.146
"#Taurus females are beautiful, sparkling jewels glowing in the moonlight.",0.56
"No doubt.... #smiling ...the best #medicine \xf0\x9f\x98\x8a\xf0\x9f\x98\x8a\xf0\x9f\x98\x8a",0.875
"@jay_roseee but that new breezy &amp; tiller \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5",0.458
"@SoCalValerie this one was Apples attempt to make muslims happy \xf0\x9f\x95\x8b",0.38
"I envy the relentless, your cheerful smile aimed at the pouring rain, your positive attitude is an art you have continually mastered.",0.519
"I fear that if United bottle this my heart would actually collapse from laughter.",0.688
"Early morning cheerfulness can be extremely obnoxious #ALDUB62ndWeeksary",0.212
"When we give cheerfully and accept gratefully, everyone is blessed. \xc2\xbbMaya Angelou",0.712
"@SXMUrbanView @karenhunter @CousinSyl you are so wrong for this!needed levity after that recording",0.28
"@govph I would like to know about the source of The President's optimism about running the country. I wonder if he can answer my curiosity.",0.18
"Watching the NY Phil webcast.  Something missing.  Reminds me of a blithe Journey's End I once saw on Bway.  Might just be the Gershwin.",0.292
"It's just the lack of company and liveliness out here that makes me bored.",0.058
"Just got back from seeing @GaryDelaney in Burslem. AMAZING!! Face still hurts from laughing so much #hilarious",0.98
"The people that call in to POV on KX4 make my night. #hilarious",0.771
"Rojo is hilarious",0.6
"Icon is pochama.\\nHe is very cute and easily elated.",0.64
"Well that draw is lively! #EFLCup",0.538
"#Followback Quote_Soup: Be happy not because everything is good, but because you can see the good side of everything. #optimism",0.46
"@FieldYates @MatthewBerryTMR @Stephania_ESPN @MikeClayNFL @FrankCaliendo goddamn...the 'celebrity' draft at the end was classic. #hilarious",0.646
"@SquishyJiminie aww thank you!! I'm definitely feeling much better today and your messages cheer me up too \xe2\x98\xba\xef\xb8\x8f",0.688
"@globemartyk 'drunken patroons' make this whole situation much more jovial though.",0.54
"Shanghais chief distracting levity pampa - proper dingle carry away: uUDQujcia",0.18
"IDC predicts that by 2020 the term cloud will no longer be used...'\\n\\nIT Managers and Administrators everywhere will rejoice.",0.286
"@__Dayo yall dont feel bad.. you are rejoicing... it is what itnis... its always #ColtsNation even when we have 6th string DBs playing \xf0\x9f\x98\x94\xf0\x9f\x98\x94",0.18
"It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day #breezy",0.708
"The best part of this day, Jesus, is to snuggle up in your embrace...to rest in your arms and know you love me...\xf0\x9f\x92\x99\xe2\x9d\xa4 #sweetEmbrace #delight",0.75
"Having a blast playing games and hearing testimonies at Pastor Jeremy's house #fellowship #food #laughter #praise #gospel #coffey1617",0.808
"@lakeline I still find you pleasing.",0.5
"f breezy",0.208
"Getting cable hooked up in new place just in time for @NBCChicagoPD and @NBCChicagoMed premiers is like God smiling down on me. #OneChicago",0.667
"@AJStylesOrg I know they have you a scripted ego maniac but, I was so elated to hear that you are a devout Christian like myself. Phenomanal",0.577
"@lennyabrahamson May I send you a copy of #HeroTheGreyhound? Either e-book or real paper one! A boy and a greyhound #smiles #tears ",0.304
"@buzzlightbeard2 If you don't love yourself... Honesty is the best policy ",0.292
"Ok, it seems there is still hope in BSNL \xf0\x9f\x99\x82\\nNow, BB speed is ok \xf0\x9f\x99\x82\\nBut I won't thank and elate much lest it be gone again like before \xf0\x9f\x98\x90\xf0\x9f\x99\x82",0.34
"tweet tweet chirp chirp losers",0.208
"Watch this amazing live.ly broadcast by @haythatjamile8  #musically",0.519
"So is cheerfulness, or a good temper, the more it is spent, the more remains. Ralph Waldo Emerson",0.438
"Watch this amazing live.ly broadcast by @kaylaaa_sartorious  #musically",0.521
"@EtherealMystic_ - felt like he couldn't control \xe2\x80\x94 and here she was, giving so much of herself, selflessly pleasing him. His groans were -",0.396
"brennan cook and breezy should get back together\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d",0.54
"Oii oiii, @Louis_Tomlinson !!  \\nTHANK YOU for always making me smile ! MY BIRTHDAY is in 16 days. \xf0\x9f\x8e\x89 Mind following me as a gift ? \xf0\x9f\x8e\x81 X225,884",0.82
"Will WHU be old bill free by the time the game with Chelsea comes around? \xf0\x9f\x98\x82 \xf0\x9f\x98\x82 \xf0\x9f\x98\x82\\nThat will be lively to say the least\\n#AFC",0.771
"Just caught up with @RichardEGrant's wonderful new series on #EalingComedies. Infectious delight in every interview and film clip.",0.667
"#SIGUEMEYTESIGO #happy #snapchat Manuellynch99 #venezuela",0.604
"@delon03 can you at least just walk past her and break out into laughter",0.417
"Dehydrated, exhausted, stressed but still blessed. #optimism",0.269
"Why have I only just started watching glee this week I am now addicted \xf0\x9f\x99\x84 #glee #GLEEK",0.625
"@Coffeeking12 @jsavite I was injecting a little levity! The person who tweeted the coke/rape tweet is obviously an idiot",0.096
"If you love singing, but don't have time for a weekly choir, come down to #KWOIR at @theartworksuk tomorrow! #Choir  #musiclondon",0.441
"incetown, age 23, joyful, elevated in hope with the",0.417
"Only Geo is capable of cheering me up\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f",0.604
"@paraplyene @soupper i just read it and it's so fun??!!!! So lighthearted and cheerful, i was right, it's a double cavity for me.",0.62
