content,sentiment_value
"final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob",0.417
"@ManUnitedWriter He has had a dreadful first half, not to mention rashford would've got on the end of a couple of those through balls #pace",0.5
"feel really sad and down today\xf0\x9f\x98\x92",0.833
"Wow just watched Me Before You and it was seriously one of the most depressing movies of my life",0.667
"Way too cool to die young, way too young to die sober.. #tunechi",0.604
"Happy Birthday Roy Buchanan, born on this day in 1939. #roybuchanan #guitar #blues #happybrithday",0.188
"Ibiza blues hitting me hard already wow",0.833
"Awareness of time is awareness of time lost. #awareness #time ",0.417
"No episode today! Whilst editing there was a power outage! We will rebuild...tomorrow #podcast #lost #editing #fail #tomorrow",0.396
"@RossKemp great programme tonight  #upsetting #extremeworld",0.375
"Most days, I don't know what my heart beats for. #depression",0.854
"Bare videos online but does anyone get rehabilitated? Does anyone actually get help for their affliction? Or do we jut get twitter videos.",0.479
"You can tell the camp isn't happy purely through Bojan and Muni.\\n\\nBoth normally fab guys, yet completely dejected. Something isn't right..",0.623
"Bill Clinton: 'Do not grow weary of doing good.' @ClintonGlobal #CGI2016",0.275
"@BBCSport too dull for the UK.",0.438
"#sober life",0.312
"I haven't watched my favorite youtubers in months and it's honestly made my depression so much worse",0.667
"@Mets @JdeGrom19 I'm depress now",0.708
"When the sadness leaves you broken in your bed, I will hold you in the depths of your despair, and it's all in the name of love \xf0\x9f\x8e\xb6",0.604
"John and his 'magic box' #lost",0.229
"it didn't impress me but it didn't depress me'",0.271
"@petercoffin So safe blues are ok. Are reds ok as well? Obviously, battleground states would not.",0.263
"So grim being up at 6",0.75
"@KingJames @chrisbosh\\n To good hearts I lost my job I'm Responsible 2 families My Information in profile even dollar if can\xe2\x80\x99t just Re-tweet",0.75
"Cheap pout my brodcast",0.438
"I wanna see you smile I don't wanna see you make a frown",0.333
"Liam is too distant makes me mourn \xf0\x9f\x98\xaa",0.646
"Being at the airport is so depressing.. watching all the loved up couples and cute people coming off holiday,too cute..hurry up November \xe2\x9c\x88\xef\xb8\x8f",0.625
"@NewYorker @donlemon Trump presidency-a dark age for the USA and the world. He would most definitely take us to war. Short &amp; Long term pain",0.604
"@midnight #EndTrumpweek please, it's #depressing me.",0.667
"SRV's 'Voodoo Child' is approximately 76 times better than Jimi's. #guitar #music #blues",0.292
"my bls depress the blake",0.585
"I'm honestly upset that they rewarded Nicole 500k. #depressing #paulwasrobbed #rewardhardwork #bitterjury #bb18",0.667
"If I had a little bit of extra money I would blow the whole paycheck and go to one of the two of @KygoMusic's concerts in LA. #serious",0.167
"I can't even celebrate my wins or mourn my L's cause first test week is that busy \xf0\x9f\x98\x95",0.75
"@chelseafc let them know it's the #blues",0.521
"Mmmm #coffee and a good #book on a dreary day! Who can beat that?",0.25
"@andrewmcmeme nah, I asked really insightful teacherly questions so he could write a kickass report of his own. He will, sadly, never know",0.521
